Object,Time Step,Instance ID,Power Consumption
EdgeServer_2,16,2,190.74699999999999
EdgeServer_3,16,3,85.867475
EdgeServer_4,16,4,66.9914
EdgeServer_5,16,5,85.91666666666667
EdgeServer_6,16,6,74.50833333333334
EdgeServer_1,17,1,190.74699999999999
EdgeServer_2,17,2,203.1225
EdgeServer_3,17,3,66.9914
EdgeServer_4,17,4,66.9914
EdgeServer_5,17,5,85.91666666666667
EdgeServer_6,17,6,74.50833333333334
EdgeServer_1,18,1,203.1225
EdgeServer_2,18,2,190.74699999999999
EdgeServer_3,18,3,66.9914
EdgeServer_4,18,4,66.9914
EdgeServer_5,18,5,74.50833333333334
EdgeServer_6,18,6,74.50833333333334
EdgeServer_1,19,1,203.1225
EdgeServer_2,19,2,190.74699999999999
EdgeServer_3,19,3,66.9914
EdgeServer_4,19,4,66.9914
EdgeServer_5,19,5,74.50833333333334
EdgeServer_6,19,6,74.50833333333334
EdgeServer_1,20,1,190.74699999999999
EdgeServer_2,20,2,190.74699999999999
EdgeServer_3,20,3,66.9914
EdgeServer_4,20,4,66.9914
EdgeServer_5,20,5,74.50833333333334
EdgeServer_6,20,6,85.91666666666667
EdgeServer_1,21,1,203.1225
EdgeServer_2,21,2,190.74699999999999
EdgeServer_3,21,3,66.9914
EdgeServer_4,21,4,66.9914
EdgeServer_5,21,5,74.50833333333334
EdgeServer_6,21,6,74.50833333333334
EdgeServer_1,22,1,203.1225
EdgeServer_2,22,2,190.74699999999999
EdgeServer_3,22,3,66.9914
EdgeServer_4,22,4,66.9914
EdgeServer_5,22,5,74.50833333333334
EdgeServer_6,22,6,74.50833333333334
EdgeServer_1,23,1,203.1225
EdgeServer_2,23,2,190.74699999999999
EdgeServer_3,23,3,66.9914
EdgeServer_4,23,4,66.9914
EdgeServer_5,23,5,74.50833333333334
EdgeServer_6,23,6,74.50833333333334
EdgeServer_1,24,1,190.74699999999999
EdgeServer_2,24,2,190.74699999999999
EdgeServer_3,24,3,66.9914
EdgeServer_4,24,4,66.9914
EdgeServer_5,24,5,74.50833333333334
EdgeServer_6,24,6,85.91666666666667
EdgeServer_1,25,1,190.74699999999999
EdgeServer_2,25,2,190.74699999999999
EdgeServer_3,25,3,66.9914
EdgeServer_4,25,4,66.9914
EdgeServer_5,25,5,74.50833333333334
EdgeServer_6,25,6,85.91666666666667
EdgeServer_1,26,1,190.74699999999999
EdgeServer_2,26,2,203.1225
EdgeServer_3,26,3,66.9914
EdgeServer_4,26,4,66.9914
EdgeServer_5,26,5,74.50833333333334
EdgeServer_6,26,6,74.50833333333334
EdgeServer_1,27,1,178.37149999999997
EdgeServer_2,27,2,203.1225
EdgeServer_3,27,3,66.9914
EdgeServer_4,27,4,66.9914
EdgeServer_5,27,5,74.50833333333334
EdgeServer_6,27,6,97.325
EdgeServer_1,28,1,165.99599999999998
EdgeServer_2,28,2,215.498
EdgeServer_3,28,3,66.9914
EdgeServer_4,28,4,66.9914
EdgeServer_5,28,5,74.50833333333334
EdgeServer_6,28,6,97.325
EdgeServer_1,29,1,178.37149999999997
EdgeServer_2,29,2,203.1225
EdgeServer_3,29,3,66.9914
EdgeServer_4,29,4,66.9914
EdgeServer_5,29,5,74.50833333333334
EdgeServer_6,29,6,108.73333333333333
EdgeServer_1,30,1,178.37149999999997
EdgeServer_2,30,2,190.74699999999999
EdgeServer_3,30,3,66.9914
EdgeServer_4,30,4,66.9914
EdgeServer_5,30,5,74.50833333333334
EdgeServer_6,30,6,120.14166666666668
EdgeServer_1,31,1,178.37149999999997
EdgeServer_2,31,2,190.74699999999999
EdgeServer_3,31,3,66.9914
EdgeServer_4,31,4,66.9914
EdgeServer_5,31,5,74.50833333333334
EdgeServer_6,31,6,120.14166666666668
EdgeServer_1,32,1,178.37149999999997
EdgeServer_2,32,2,165.99599999999998
EdgeServer_3,32,3,66.9914
EdgeServer_4,32,4,66.9914
EdgeServer_5,32,5,74.50833333333334
EdgeServer_6,32,6,120.14166666666668
EdgeServer_1,33,1,178.37149999999997
EdgeServer_2,33,2,165.99599999999998
EdgeServer_3,33,3,66.9914
EdgeServer_4,33,4,66.9914
EdgeServer_5,33,5,74.50833333333334
EdgeServer_6,33,6,120.14166666666668
EdgeServer_1,34,1,178.37149999999997
EdgeServer_2,34,2,165.99599999999998
EdgeServer_3,34,3,66.9914
EdgeServer_4,34,4,66.9914
EdgeServer_5,34,5,74.50833333333334
EdgeServer_6,34,6,120.14166666666668
EdgeServer_1,35,1,178.37149999999997
EdgeServer_2,35,2,178.37149999999997
EdgeServer_3,35,3,66.9914
EdgeServer_4,35,4,66.9914
EdgeServer_5,35,5,74.50833333333334
EdgeServer_6,35,6,108.73333333333333
EdgeServer_1,36,1,178.37149999999997
EdgeServer_2,36,2,165.99599999999998
EdgeServer_3,36,3,66.9914
EdgeServer_4,36,4,66.9914
EdgeServer_5,36,5,74.50833333333334
EdgeServer_6,36,6,120.14166666666668
EdgeServer_1,37,1,178.37149999999997
EdgeServer_2,37,2,165.99599999999998
EdgeServer_3,37,3,66.9914
EdgeServer_4,37,4,66.9914
EdgeServer_5,37,5,74.50833333333334
EdgeServer_6,37,6,120.14166666666668
EdgeServer_1,38,1,178.37149999999997
EdgeServer_2,38,2,165.99599999999998
EdgeServer_3,38,3,66.9914
